timestamp,value,is_anomaly_true,anomaly_robust_z,anomaly_isolation_forest
2013-12-05 20:35:00,58.38399867,False,False,True
2013-12-09 21:25:00,64.08813968,False,False,True
2013-12-10 22:45:00,76.1408429,True,False,True
2013-12-11 03:25:00,94.55009546,True,False,True
2013-12-11 04:00:00,96.54628233,True,False,True
2013-12-11 04:05:00,96.43049532,True,False,True
2013-12-11 04:10:00,96.5317009,True,False,True
2013-12-11 04:15:00,98.07583716,True,False,True
2013-12-11 04:20:00,97.44285144,True,False,True
2013-12-11 04:25:00,98.33513323,True,False,True
2013-12-11 04:30:00,97.83683019,True,False,True
2013-12-11 04:35:00,98.3801746,True,False,True
2013-12-11 04:40:00,98.58423755,True,False,True
2013-12-11 04:45:00,98.89453407,True,False,True
2013-12-11 04:50:00,98.69735035,True,False,True
2013-12-11 04:55:00,98.97393673,True,False,True
2013-12-11 05:00:00,99.16842546,True,False,True
2013-12-11 05:05:00,101.2026128,True,False,True
2013-12-11 05:10:00,100.9526448,True,False,True
2013-12-11 05:15:00,100.9086505,True,False,True
2013-12-11 05:20:00,99.85839614,True,False,True
2013-12-11 05:25:00,101.3228187,True,False,True
2013-12-11 05:30:00,101.8510617,True,False,True
2013-12-11 05:35:00,101.4601172,True,False,True
2013-12-11 05:40:00,101.9073125,True,False,True
2013-12-11 05:45:00,102.1787448,True,False,True
2013-12-11 05:50:00,101.3611415,True,False,True
2013-12-11 05:55:00,101.26307690000002,True,False,True
2013-12-11 06:00:00,102.7362135,True,False,True
2013-12-11 06:05:00,101.9777781,True,False,True
2013-12-11 06:10:00,101.4234284,True,False,True
2013-12-11 06:15:00,102.04249509999998,True,False,True
2013-12-11 06:20:00,102.0593721,True,False,True
2013-12-11 06:25:00,102.1514454,True,False,True
2013-12-11 06:30:00,101.7575724,True,False,True
2013-12-11 06:35:00,101.6938573,True,False,True
2013-12-11 06:40:00,101.6810386,True,False,True
2013-12-11 06:45:00,100.0537852,True,False,True
2013-12-11 06:50:00,101.5506073,True,False,True
2013-12-11 06:55:00,99.57608141,True,False,True
2013-12-11 07:00:00,98.92183056,True,False,True
2013-12-11 07:05:00,99.27652277,True,False,True
2013-12-11 07:10:00,98.381752,True,False,True
2013-12-11 07:15:00,98.66668638,True,False,True
2013-12-11 07:20:00,99.71086714,True,False,True
2013-12-11 07:25:00,99.38718801,True,False,True
2013-12-11 07:30:00,97.48401542,True,False,True
2013-12-11 07:35:00,98.26007604,True,False,True
2013-12-11 07:40:00,96.72880013,True,False,True
2013-12-11 07:45:00,97.82025618,True,False,True
2013-12-11 07:50:00,97.93340529,True,False,True
2013-12-11 07:55:00,95.97787869,True,False,True
2013-12-11 08:00:00,97.18244564,True,False,True
2013-12-11 08:05:00,95.08005717,True,False,True
2013-12-11 08:10:00,95.06420247,True,False,True
2013-12-11 08:20:00,95.47953657,True,False,True
2013-12-11 08:25:00,95.66280941,True,False,True
2013-12-11 08:30:00,95.44920702,True,False,True
2013-12-11 08:35:00,95.31919557,True,False,True
2013-12-11 08:40:00,93.68532969,True,False,True
2013-12-11 08:50:00,92.68972017,True,False,True
2013-12-16 02:10:00,61.51612039,True,False,True
2013-12-16 02:20:00,61.49128902,True,False,True
2013-12-16 02:30:00,61.41971741,True,False,True
2013-12-16 03:00:00,61.50966304,True,False,True
2013-12-16 03:05:00,59.66600129,True,False,True
2013-12-16 03:10:00,59.57919588,True,False,True
2013-12-16 03:25:00,60.25964641,True,False,True
2013-12-16 03:30:00,58.81060689,True,False,True
2013-12-16 03:55:00,58.67059847,True,True,True
2013-12-16 04:25:00,57.56596634,True,False,True
2013-12-16 04:30:00,56.72141269,True,True,False
2013-12-16 04:35:00,57.84285288,True,True,False
2013-12-16 04:40:00,57.02785876,True,True,False
2013-12-16 04:45:00,56.93371332,True,True,True
2013-12-16 04:50:00,57.44456351,True,True,False
2013-12-16 04:55:00,57.43423073,True,True,True
2013-12-16 05:00:00,55.01842643,True,True,True
2013-12-16 05:05:00,55.73219618,True,True,True
2013-12-16 05:10:00,54.61028367,True,True,True
2013-12-16 05:15:00,55.08287152,True,True,True
